,task,start,end
196,进车台位1号,4101,4102
197,粘接预装台位33号,4125,4126
198,进车台位1号,4125,4127
199,粘接预装台位29号,4150,4151
200,进车台位1号,4149,4152
201,粘接预装台位33号,4175,4176
202,粘接预装台位29号,4200,4201
203,进车台位1号,4245,4246
204,粘接预装台位29号,4269,4270
205,进车台位1号,4269,4271
206,粘接预装台位33号,4294,4295
207,进车台位1号,4293,4296
208,粘接预装台位29号,4319,4320
209,粘接预装台位33号,4344,4345
210,进车台位1号,4389,4390
211,粘接预装台位33号,4413,4414
212,进车台位1号,4413,4415
213,粘接预装台位29号,4438,4439
214,进车台位1号,4437,4440
215,粘接预装台位33号,4463,4464
216,粘接预装台位29号,4488,4489
217,进车台位1号,4533,4534
218,粘接预装台位29号,4557,4558
219,进车台位1号,4557,4559
220,粘接预装台位33号,4582,4583
221,进车台位1号,4581,4584
222,粘接预装台位29号,4607,4608
223,粘接预装台位33号,4632,4633
224,进车台位1号,4677,4678
225,粘接预装台位33号,4701,4702
226,进车台位1号,4701,4703
227,粘接预装台位29号,4726,4727
228,进车台位1号,4725,4728
229,粘接预装台位33号,4751,4752
230,粘接预装台位29号,4776,4777
231,进车台位1号,4821,4822
232,粘接预装台位29号,4845,4846
233,进车台位1号,4845,4847
234,粘接预装台位33号,4870,4871
235,进车台位1号,4869,4872
236,粘接预装台位29号,4895,4896
237,粘接预装台位33号,4920,4921
238,进车台位1号,4965,4966
239,粘接预装台位33号,4989,4990
240,进车台位1号,4989,4991
241,粘接预装台位29号,5014,5015
242,进车台位1号,5013,5016
243,粘接预装台位33号,5039,5040
244,粘接预装台位29号,5064,5065
245,进车台位1号,5109,5110
246,粘接预装台位29号,5133,5134
247,进车台位1号,5133,5135
248,粘接预装台位33号,5158,5159
249,进车台位1号,5157,5160
250,粘接预装台位29号,5183,5184
251,粘接预装台位33号,5208,5209
252,进车台位1号,5253,5254
253,粘接预装台位33号,5277,5278
254,进车台位1号,5277,5279
255,粘接预装台位29号,5302,5303
256,进车台位1号,5301,5304
257,粘接预装台位33号,5327,5328
