,task,start,end
210,粘接预装台位29号,3692,3694
211,粘接预装台位33号,3717,3721
212,模块化组装7号,3724,3725
213,普通组装2类(BC车)23号,3748,3749
214,粘接预装台位33号,3786,3787
215,进车台位1号,3789,3790
216,粘接预装台位29号,3810,3812
217,进车台位1号,3813,3815
218,粘接预装台位33号,3835,3837
219,进车台位1号,3837,3840
220,粘接预装台位29号,3860,3862
221,粘接预装台位33号,3885,3889
222,模块化组装7号,3892,3893
223,普通组装2类(BC车)35号,3916,3917
224,粘接预装台位33号,3954,3955
225,进车台位1号,3957,3958
226,粘接预装台位29号,3978,3980
227,进车台位1号,3981,3983
228,粘接预装台位33号,4003,4005
229,进车台位1号,4005,4008
230,粘接预装台位29号,4028,4030
231,粘接预装台位33号,4053,4057
232,模块化组装7号,4060,4061
233,普通组装2类(BC车)18号,4084,4085
234,粘接预装台位33号,4122,4123
235,进车台位1号,4125,4126
236,粘接预装台位29号,4146,4148
237,进车台位1号,4149,4151
238,粘接预装台位33号,4171,4173
239,进车台位1号,4173,4176
240,粘接预装台位29号,4196,4198
241,粘接预装台位33号,4221,4225
242,模块化组装7号,4228,4229
243,普通组装2类(BC车)24号,4252,4253
244,粘接预装台位33号,4290,4291
245,进车台位1号,4293,4294
246,粘接预装台位29号,4314,4316
247,进车台位1号,4317,4319
248,粘接预装台位33号,4339,4341
249,进车台位1号,4341,4344
250,粘接预装台位29号,4364,4366
251,粘接预装台位33号,4389,4393
252,模块化组装7号,4396,4397
253,普通组装2类(BC车)12号,4420,4421
254,粘接预装台位33号,4458,4459
255,进车台位1号,4461,4462
256,粘接预装台位29号,4482,4484
257,进车台位1号,4485,4487
258,粘接预装台位33号,4507,4509
259,进车台位1号,4509,4512
260,粘接预装台位29号,4532,4534
261,粘接预装台位33号,4557,4561
262,模块化组装7号,4564,4565
263,普通组装2类(BC车)20号,4588,4589
264,粘接预装台位33号,4626,4627
265,进车台位1号,4629,4630
266,粘接预装台位29号,4650,4652
267,进车台位1号,4653,4655
268,粘接预装台位33号,4675,4677
269,进车台位1号,4677,4680
270,粘接预装台位29号,4700,4702
271,粘接预装台位33号,4725,4729
272,模块化组装7号,4732,4733
273,普通组装2类(BC车)25号,4756,4757
274,粘接预装台位33号,4794,4795
275,进车台位1号,4797,4798
276,粘接预装台位29号,4818,4820
277,进车台位1号,4821,4823
278,粘接预装台位33号,4843,4845
279,进车台位1号,4845,4848
280,粘接预装台位29号,4868,4870
281,粘接预装台位33号,4893,4897
282,模块化组装7号,4900,4901
283,普通组装2类(BC车)14号,4924,4925
284,粘接预装台位33号,4962,4963
285,进车台位1号,4965,4966
286,粘接预装台位29号,4986,4988
287,进车台位1号,4989,4991
288,粘接预装台位33号,5011,5013
289,进车台位1号,5013,5016
290,粘接预装台位29号,5036,5038
291,粘接预装台位33号,5061,5065
292,模块化组装7号,5068,5069
293,普通组装2类(BC车)22号,5092,5093
294,粘接预装台位33号,5130,5131
295,进车台位1号,5133,5134
