,task,start,end
810,粘接预装台位29号,13772,13774
811,粘接预装台位33号,13797,13801
812,模块化组装7号,13804,13805
813,普通组装2类(BC车)20号,13828,13829
814,粘接预装台位33号,13866,13867
815,进车台位1号,13869,13870
816,粘接预装台位29号,13890,13892
817,进车台位1号,13893,13895
818,粘接预装台位33号,13915,13917
819,进车台位1号,13917,13920
820,粘接预装台位29号,13940,13942
821,粘接预装台位33号,13965,13969
822,模块化组装7号,13972,13973
823,普通组装2类(BC车)25号,13996,13997
824,粘接预装台位33号,14034,14035
825,进车台位1号,14037,14038
826,粘接预装台位29号,14058,14060
827,进车台位1号,14061,14063
828,粘接预装台位33号,14083,14085
829,进车台位1号,14085,14088
830,粘接预装台位29号,14108,14110
831,粘接预装台位33号,14133,14137
832,模块化组装7号,14140,14141
833,普通组装2类(BC车)14号,14164,14165
834,粘接预装台位33号,14202,14203
835,进车台位1号,14205,14206
836,粘接预装台位29号,14226,14228
837,进车台位1号,14229,14231
838,粘接预装台位33号,14251,14253
839,进车台位1号,14253,14256
840,粘接预装台位29号,14276,14278
841,粘接预装台位33号,14301,14305
842,模块化组装7号,14308,14309
843,普通组装2类(BC车)22号,14332,14333
844,粘接预装台位33号,14370,14371
845,进车台位1号,14373,14374
846,粘接预装台位29号,14394,14396
847,进车台位1号,14397,14399
848,粘接预装台位33号,14419,14421
849,进车台位1号,14421,14424
850,粘接预装台位29号,14444,14446
851,粘接预装台位33号,14469,14473
852,模块化组装7号,14476,14477
853,普通组装2类(BC车)26号,14500,14501
854,粘接预装台位33号,14538,14539
855,进车台位1号,14541,14542
856,粘接预装台位29号,14562,14564
857,进车台位1号,14565,14567
858,粘接预装台位33号,14587,14589
859,进车台位1号,14589,14592
860,粘接预装台位29号,14612,14614
861,粘接预装台位33号,14637,14641
862,模块化组装7号,14644,14645
863,普通组装2类(BC车)16号,14668,14669
